Date,Cod Large,Cod Medium
08/01/16,3.60,3.00
15/01/16,3.16,2.23
22/01/16,2.00,1.68
29/01/16,2.30,1.82
05/02/16,3.43,2.40
12/02/16,2.06,2.03
19/02/16,2.10,1.87
26/02/16,2.02,1.92
04/03/16,2.15,1.86
11/03/16,1.74,1.72
18/03/16,1.86,1.63
25/03/16,2.00,1.85
01/04/16,2.30,1.40
08/04/16,2.60,1.77
15/04/16,1.71,1.50
22/04/16,2.13,1.77
29/04/16,2.50,1.74
06/05/16,2.43,1.93
13/05/16,2.02,1.75
20/05/16,2.03,1.71
27/05/16,3.10,2.25
03/06/16,3.06,2.12
10/06/16,2.85,2.70
17/06/16,2.10,2.10
24/06/16,2.00,2.36
01/07/16,2.49,2.56
08/07/16,2.78,2.77
15/07/16,2.43,2.26
22/07/16,3.00,2.98
29/07/16,3.00,3.00
05/08/16,3.39,3.29
12/08/16,3.26,3.41
19/08/16,3.18,3.15
26/08/16,2.35,2.31
02/09/16,2.93,2.85
09/09/16,2.80,2.66
16/09/16,2.40,2.50
23/09/16,3.08,2.90
30/09/16,3.43,3.38
